id,beneficio_id,pessoa_id,status_adesao,observacoes,created_at,updated_at
a55ec5a3-1802-45f3-a18c-1922fafb5aa3,260d2246-10b1-4fc6-a804-e3c984b511f0,3ae52a54-c57d-49ee-89cc-241674468e90,Concluído,Desligamento do colaborador,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
2efb59ea-a264-41f6-92e9-81bc0662bd61,260d2246-10b1-4fc6-a804-e3c984b511f0,153e0800-ddad-464d-9733-2ee7cc8a1a6d,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
e8e2c6da-21a4-4f9d-978a-5204a5a30071,c1308be8-ec81-4f44-9426-a7024187d753,153e0800-ddad-464d-9733-2ee7cc8a1a6d,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
eee2f4f3-c1d7-47d7-96ea-328af84badb0,260d2246-10b1-4fc6-a804-e3c984b511f0,fdc8adea-23b0-483f-9530-6fd6301a6e1f,Concluído,16/06/2024 - Data de Conclusão de Carência,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
9c93f5b6-7816-4d07-9573-abaae17da819,260d2246-10b1-4fc6-a804-e3c984b511f0,114d9a4d-44ae-4245-8a9b-e3683752b125,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
c0b39db7-d51c-45e7-80dd-c4ef0439db5e,260d2246-10b1-4fc6-a804-e3c984b511f0,660c4e4c-a78b-456b-804a-f322c5551d5d,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
c3d14143-9bc5-47a6-9930-fade838d39c3,c1308be8-ec81-4f44-9426-a7024187d753,65c57deb-aac8-402f-8968-b3c4e579ed44,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
71a94563-832a-4c3b-86e5-e7ef5d49bb65,c1308be8-ec81-4f44-9426-a7024187d753,3ae52a54-c57d-49ee-89cc-241674468e90,Concluído,Desligamento do colaborador,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
f16e6f69-7347-4e69-aa76-4a49f11db504,260d2246-10b1-4fc6-a804-e3c984b511f0,c0b9a836-8904-4700-808c-2c4187577ef1,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
0bdd2d36-cb9e-4509-91d8-36100299bb5e,260d2246-10b1-4fc6-a804-e3c984b511f0,50b24fc6-63a5-4019-b5d7-5cb74c3c6d47,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
3c5699c0-d713-45a8-8c9f-c307dd99c5b4,260d2246-10b1-4fc6-a804-e3c984b511f0,8c35b0ef-3e9a-4b7f-a89f-f81d1481e6af,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
cd3dee33-0bcb-41f7-a3da-ac2bae034ebf,260d2246-10b1-4fc6-a804-e3c984b511f0,11f36679-7db9-4c4e-a08d-295ce7143299,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
f034cde4-e7ab-42db-9ae7-af607ad56559,c1308be8-ec81-4f44-9426-a7024187d753,e2bbe43a-ba1a-43e8-8410-b14b01644f55,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
51bbdabe-9012-46aa-a8e2-67f420787f78,260d2246-10b1-4fc6-a804-e3c984b511f0,e2bbe43a-ba1a-43e8-8410-b14b01644f55,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
d33396a0-9e81-40e8-a63f-c6ec6a633223,c1308be8-ec81-4f44-9426-a7024187d753,0da7fc95-df5a-46a5-95ab-dac20ec79042,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
c50bcf6a-7582-47a5-9591-a019fd300c43,260d2246-10b1-4fc6-a804-e3c984b511f0,0da7fc95-df5a-46a5-95ab-dac20ec79042,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
4c24bf07-d5ec-4aea-b5f3-bda23ad9b206,c1308be8-ec81-4f44-9426-a7024187d753,50e523a5-f90c-473e-9383-e6ceec700971,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
aef34294-c8cb-4a99-8756-9e97fdd22502,260d2246-10b1-4fc6-a804-e3c984b511f0,50e523a5-f90c-473e-9383-e6ceec700971,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
6b26244a-5088-404f-b141-f136cfa8ae4c,260d2246-10b1-4fc6-a804-e3c984b511f0,e267681b-9e6a-42cb-810a-6e8e8b7e94e6,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
f6648948-170f-4ac2-aafc-2e19ebdc9b51,c1308be8-ec81-4f44-9426-a7024187d753,11d41b7b-ea98-4491-aea2-e6775b4401b9,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
50089859-4c3b-4f40-9263-9638c57579ac,c1308be8-ec81-4f44-9426-a7024187d753,e267681b-9e6a-42cb-810a-6e8e8b7e94e6,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
eca9ecb9-8d02-442d-9339-1e4c64dac6b0,260d2246-10b1-4fc6-a804-e3c984b511f0,11d41b7b-ea98-4491-aea2-e6775b4401b9,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
846843ab-9a87-4bfa-be7d-f74b71b01360,c1308be8-ec81-4f44-9426-a7024187d753,423c68e2-4704-492a-bca0-2c94df111d24,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
0d8b353c-53be-44bd-b3f1-b29cda32b450,260d2246-10b1-4fc6-a804-e3c984b511f0,0cd9a02a-1d9a-46bc-b715-e4b1ffd085a2,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
