id,nome,created_at
105,Analista Performance,2026-04-01T15:33:09+00:00
106,Consultor de Viagens,2026-04-01T15:33:09+00:00
107,Fisioterapeuta,2026-04-01T15:33:09+00:00
108,Head de Perfomance,2026-04-01T15:33:09+00:00
109,Médico,2026-04-01T15:33:09+00:00
110,Preparadora física,2026-04-01T15:33:09+00:00
111,Pscicóloga ,2026-04-01T15:33:09+00:00
112,Treinador comportamental (Coach),2026-04-01T15:33:09+00:00
113,Editor de Produções Audiovisuais,2026-04-01T15:33:09+00:00
114,Editor de Produções Audiovisuais,2026-04-01T15:33:09+00:00
115,Editor de Produções Audiovisuais,2026-04-01T15:33:09+00:00
116,Head de Produção Audiovisual,2026-04-01T15:33:09+00:00
117,Produtor de Fotografia e Vídeo ,2026-04-01T15:33:09+00:00
118,Produtora executiva audiovisual,2026-04-01T15:33:09+00:00
119,Tradutor e Intérprete,2026-04-01T15:33:09+00:00
120,Agile Head ,2026-04-01T15:33:09+00:00
121,Agile Manager,2026-04-01T15:33:09+00:00
122,Agile Expert (especialista),2026-04-01T15:33:09+00:00
123,Agile Coach (analista),2026-04-01T15:33:09+00:00
124,Head de Ecommerce,2026-04-01T15:33:09+00:00
125,Coordenador de Ecommerce,2026-04-01T15:33:09+00:00
126,Especialista de Ecommerce,2026-04-01T15:33:09+00:00
127,Analista de Ecommerce,2026-04-01T15:33:09+00:00
128,Assistente de Ecommerce,2026-04-01T15:33:09+00:00
129,Auxiliar de Ecommerce,2026-04-01T15:33:09+00:00
130,Head de Planejamento Estratégico,2026-04-01T15:33:09+00:00
131,Coordenador de Planejamento Estratégico,2026-04-01T15:33:09+00:00
132,Especialista de Planejamento Estratégico,2026-04-01T15:33:09+00:00
133,Analista de Planejamento Estratégico,2026-04-01T15:33:09+00:00
134,Assistente de Planejamento Estratégico,2026-04-01T15:33:09+00:00
135,Auxiliar de Planejamento Estratégico,2026-04-01T15:33:09+00:00
136,Head de Eventos,2026-04-01T15:33:09+00:00
137,Coordenador de Eventos,2026-04-01T15:33:09+00:00
138,Especialista de Eventos,2026-04-01T15:33:09+00:00
139,Analista de Eventos,2026-04-01T15:33:09+00:00
140,Assistente de Eventos,2026-04-01T15:33:09+00:00
141,Auxiliar de Eventos,2026-04-01T15:33:09+00:00
142,Analista de Processos 2 Pesquisa,2026-04-01T15:33:09+00:00
143,Coordenador de Diversidade e Inclusão ,2026-04-01T15:33:09+00:00
144,Head de Diversidade e Inclusão ,2026-04-01T15:33:09+00:00
145,Coordenador de Produção Audiovisual,2026-04-01T15:33:09+00:00
146,Arquiteto de Soluções,2026-04-01T15:33:09+00:00
147,"Engenheiro de Soluções 
",2026-04-01T15:33:09+00:00
148,Assistente Contábil,2026-04-01T15:33:09+00:00
149,"Coord. de Produtos Visuais e Artísticos 
",2026-04-01T15:33:09+00:00
150,Analista de Operações de Viagens,2026-04-01T15:33:09+00:00
151,Operations Manager US,2026-04-01T15:33:09+00:00
152,Marketing Manager,2026-04-01T15:33:09+00:00
153,Analista de Social Media 2025,2026-04-01T15:33:09+00:00
154,Designer 2025,2026-04-01T15:33:09+00:00
