id,pessoa_id,tipo_admissao_id,tipo_contrato,n1_id,n2_id,n3_id,responsavel_rh_id,cargo_id,beneficios_ids,status_dados_pessoais,etapa_atual_id,created_at,updated_at,observacao,gestor_id,primeiro_emprego_clt
bb9325fc-ad93-41a5-8ae8-c1474ad01d66,e8dbf5b1-c62d-4e7a-acb6-34e6b63ea24e,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
3a2b81cd-3de1-4b11-b4b1-63283d74c014,0b2cbc07-a655-4412-b9f2-811c74fe935c,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
f3d68241-8693-435d-a4b1-66d628d8db7b,6ced3002-4fa6-4d65-b76f-9b356570d361,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
c6fdc7ba-bf0f-472f-8870-b38360d02d5a,233adca9-166b-4021-af29-024bdf4a4eae,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
9b0b813e-289f-4e90-9f3b-f5ec27d11832,aefdfddf-2c31-42f1-8a59-e33aca5892d9,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
f6785ea8-bdb3-4933-8df7-8a2a4fcd68bd,bba8e787-cff8-4224-a92b-9c3d3a467e37,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
a15cfd26-b0ad-4778-b87d-0bfd95908e1d,3f4491ca-1e9d-4bf0-97bc-8266b21e5607,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,9734853f-4956-467b-9217-536015ee1a3d,false
65c0dab0-cf36-492c-9aa7-725aaef7c082,e36725ad-bb02-4691-91c1-cb034a67b057,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,bed94071-eab9-4e38-bdb2-100766987276,false
477421c2-5a9a-4f8f-b3b0-73cdd8c26d7a,1074f99f-7b25-43b3-8794-09d84fe4f72d,,Temporário,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,bed94071-eab9-4e38-bdb2-100766987276,false
c990f8fa-5ca6-41a5-97e4-10785f1865df,1450fbc4-bd54-4107-bc1a-18a10b3a3b73,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
f51548b0-5cfc-47cd-9796-c9f72e8a7951,414f73c7-91a6-4863-8d00-b149006d2ece,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
4118ccd3-612e-4363-b9c4-dec94ca0ba59,8f5ea22a-81cc-4094-90eb-7e734ed07b1b,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,16c916d8-28cb-44f4-b02d-69ee047174ce,false
86caf857-8af7-4a19-809c-49750bec5d3b,d5599357-16cd-4243-bf53-9e02bcc05e9d,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,16c916d8-28cb-44f4-b02d-69ee047174ce,false
dbfc0459-7244-4ee2-ba50-0c8bbd35c7e9,add8e17f-4f9e-4d67-83f6-1fcc6c090151,,Pessoa Jurídica,,,,,,,Pré admissão,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,e2c609cc-e42a-49f2-945e-121db208d7df,false
ca950f4e-527f-48a3-983b-a75b9222312d,b164a290-d1b9-497d-8945-9497a7e5cfa3,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,9734853f-4956-467b-9217-536015ee1a3d,false
10210b68-4dbc-4ce7-8e31-f71e9bec9244,08d511c9-18fe-4d28-8b49-85aa2a30f1c1,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
315c000d-1b53-4d20-9a87-c45469d3c3fd,a2aaa8ed-0593-48f8-a6ad-3395bdc24d8d,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,16c916d8-28cb-44f4-b02d-69ee047174ce,false
b5964150-c096-49a0-8e94-a11066c0aaca,20e00bd5-bd41-4b93-afa5-a06d03a940f4,,Pessoa Jurídica,,,,,,,Finalizado,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,9734853f-4956-467b-9217-536015ee1a3d,false
1fa5cb8f-5a46-451a-9c81-63ca5bb28f3c,8be3b8b2-88e0-4800-a683-0bcf614c3c9d,,Pessoa Jurídica,,,,,,,Pré admissão,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
7f8a5622-fe7e-452b-99c8-a823f1aa3cf6,b091d850-bf1f-4ef7-8456-0dc229e3f50d,,Estágio,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,9f492dc9-9a2e-49d0-b6ce-befa30592587,false
69d1c66f-76ad-4323-a147-3672baba7c3a,2924b327-b096-49de-89af-385122be3790,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
9c7fc417-a4b9-40bf-a6fb-3ea6c1def743,0d676a40-10f1-4e5d-87a8-d610fc36da11,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
b4c19c76-2c11-4c54-af21-0d56b810a4e2,d19ded7d-21b7-4488-b58a-9a7b59780049,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
1418bad9-a3c8-4805-8afb-a7fd04f96da7,7a0ef535-1c1a-447f-94eb-b878de28731a,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
f3577ae9-546f-478b-a2e5-12d1620a2330,4edb134c-a83f-4c61-a7d9-2e883fe3f8b5,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
9327263d-6270-4043-a8c3-de84f79325c4,b84c6f4d-fd1f-4bb8-9540-76af58cdbc8f,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
62935f9d-f8a5-46cb-841c-c27ed764cf27,71425d8a-baab-4aef-8956-48e96d6564d9,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
ad5456c6-ed7d-4d30-997f-68b8ded3cd67,d199cbe9-afad-4723-b39b-7e75eb99ae18,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
1599634e-3002-4d6e-9bde-9cbc6522bfa3,0a5c61f7-8779-4702-ab29-bcce2d307320,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
cef2bf02-4792-49c3-a320-9909499150be,36a4568a-8ffc-4be6-b804-3f8cf469864c,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
a3938fd4-86ad-4442-94b3-8434fa7f7807,7673125c-83da-4b54-98b6-1765324891f4,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
46611af7-8af6-45ea-a2f5-c718deeeffbe,8b768b57-4144-449c-b071-6e8f189493a4,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
340dc934-1c44-4a5c-b6a4-19a5b4a2b25f,30dd4acc-dd4e-4b6a-af66-f8f3c7122682,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
d3cb05e0-eff0-4716-a3b9-366d4a11cf71,8cff519e-d1cd-4330-b736-60a81c216c7b,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
1168d4e7-a316-445a-94d9-357d5b5f7c77,4df753f6-8c2c-44cf-b2f8-1fd07d127503,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
f1b6ff5f-db3d-4d72-97da-536c865ad43c,413b8e07-76e4-4df3-812f-d82ec0b0f2b0,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
a1044e5f-b150-4dcf-85ab-2fae263f2c2a,1594f4c0-fb86-41a0-a5ea-6a9761026438,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
d0fb0a84-57c2-47e4-b85b-79c8ed89726e,ce87348f-e82e-4647-bb77-3edcfb260e25,,Estágio,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
bb53983e-da0a-4f3b-bfcd-49836344def1,6dd6885c-489e-45a1-9279-c6959c0420fe,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
