id,nome,faixa_salarial_inicio,faixa_salarial_centro,faixa_salarial_topo,senioridade_id,archived_at,created_at
57,Full Stack - Desenvolvedor(a) Full Stack PHP + React.JS/Angular - Junior,,,,,,2026-03-31T20:46:19+00:00
58,Full Stack - Desenvolvedor(a) Full Stack PHP + React.JS/Angular - Pleno,,,,,,2026-03-31T20:46:19+00:00
59,Full Stack - Desenvolvedor(a) Full Stack PHP + React.JS/Angular - Senior,,,,,,2026-03-31T20:46:19+00:00
60,Full Stack - Desenvolvedor(a) Full Stack PHP + React.JS/Angular - Especialista,,,,,,2026-03-31T20:46:19+00:00
61,Mobile - Desenvolvedor(a) Mobile Flutter - Junior,,,,,,2026-03-31T20:46:19+00:00
62,Mobile - Desenvolvedor(a) Mobile Flutter - Pleno,,,,,,2026-03-31T20:46:19+00:00
63,Mobile - Desenvolvedor(a) Mobile Flutter - Senior,,,,,,2026-03-31T20:46:19+00:00
64,Mobile - Desenvolvedor(a) Mobile Flutter - Especialista,,,,,,2026-03-31T20:46:19+00:00
65,Mobile - Desenvolvedor(a) Mobile React Native - Junior,,,,,,2026-03-31T20:46:19+00:00
66,Mobile - Desenvolvedor(a) Mobile React Native - Pleno,,,,,,2026-03-31T20:46:19+00:00
67,Mobile - Desenvolvedor(a) Mobile React Native - Senior,,,,,,2026-03-31T20:46:19+00:00
68,Mobile - Desenvolvedor(a) Mobile React Native - Especialista,,,,,,2026-03-31T20:46:19+00:00
69,Mobile - Desenvolvedor(a) Mobile Kotlin - Junior,,,,,,2026-03-31T20:46:19+00:00
70,Mobile - Desenvolvedor(a) Mobile Kotlin - Pleno,,,,,,2026-03-31T20:46:19+00:00
71,Mobile - Desenvolvedor(a) Mobile Kotlin - Senior,,,,,,2026-03-31T20:46:19+00:00
72,Mobile - Desenvolvedor(a) Mobile Kotlin - Especialista,,,,,,2026-03-31T20:46:19+00:00
73,QA - Quality Assurance - Tester - Assistente de Testes de Software - Junior,,,,,,2026-03-31T20:46:19+00:00
74,QA - Quality Assurance - Tester - Assistente de Testes de Software - Pleno,,,,,,2026-03-31T20:46:19+00:00
75,QA - Quality Assurance - Tester - Assistente de Testes de Software - Senior,,,,,,2026-03-31T20:46:19+00:00
76,QA - Quality Assurance - Tester - Assistente de Testes de Software - Especialista,,,,,,2026-03-31T20:46:19+00:00
77,QA - Quality Assurance - Analista de Qualidade - Junior,,,,,,2026-03-31T20:46:19+00:00
78,QA - Quality Assurance - Analista de Qualidade - Pleno,,,,,,2026-03-31T20:46:19+00:00
79,QA - Quality Assurance - Analista de Qualidade - Senior,,,,,,2026-03-31T20:46:19+00:00
80,QA - Quality Assurance - Analista de Qualidade - Especialista,,,,,,2026-03-31T20:46:19+00:00
81,QA - Quality Assurance - Engenheiro de Qualidade/Automacao - Junior,,,,,,2026-03-31T20:46:19+00:00
82,QA - Quality Assurance - Engenheiro de Qualidade/Automacao - Pleno,,,,,,2026-03-31T20:46:19+00:00
83,QA - Quality Assurance - Engenheiro de Qualidade/Automacao - Senior,,,,,,2026-03-31T20:46:19+00:00
84,QA - Quality Assurance - Engenheiro de Qualidade/Automacao - Especialista,,,,,,2026-03-31T20:46:19+00:00
85,BI | Data Science | IA | IoT - Engenheiro(a) de Dados - Junior,,,,,,2026-03-31T20:46:19+00:00
86,BI | Data Science | IA | IoT - Engenheiro(a) de Dados - Pleno,,,,,,2026-03-31T20:46:19+00:00
87,BI | Data Science | IA | IoT - Engenheiro(a) de Dados - Senior,,,,,,2026-03-31T20:46:19+00:00
88,BI | Data Science | IA | IoT - Engenheiro(a) de Dados - Especialista,,,,,,2026-03-31T20:46:19+00:00
89,BI | Data Science | IA | IoT - Desenvolvedor(a) - Consultor(a) BI - Junior,,,,,,2026-03-31T20:46:19+00:00
90,BI | Data Science | IA | IoT - Desenvolvedor(a) - Consultor(a) BI - Pleno,,,,,,2026-03-31T20:46:19+00:00
91,BI | Data Science | IA | IoT - Desenvolvedor(a) - Consultor(a) BI - Senior,,,,,,2026-03-31T20:46:19+00:00
92,BI | Data Science | IA | IoT - Desenvolvedor(a) - Consultor(a) BI - Especialista,,,,,,2026-03-31T20:46:19+00:00
93,BI | Data Science | IA | IoT - Arquiteto(a) BI - Junior,,,,,,2026-03-31T20:46:19+00:00
94,BI | Data Science | IA | IoT - Arquiteto(a) BI - Pleno,,,,,,2026-03-31T20:46:19+00:00
95,BI | Data Science | IA | IoT - Arquiteto(a) BI - Senior,,,,,,2026-03-31T20:46:19+00:00
96,BI | Data Science | IA | IoT - Arquiteto(a) BI - Especialista,,,,,,2026-03-31T20:46:19+00:00
97,BI | Data Science | IA | IoT - Cientista de Dados - Junior,,,,,,2026-03-31T20:46:19+00:00
98,BI | Data Science | IA | IoT - Cientista de Dados - Pleno,,,,,,2026-03-31T20:46:19+00:00
99,BI | Data Science | IA | IoT - Cientista de Dados - Senior,,,,,,2026-03-31T20:46:19+00:00
100,BI | Data Science | IA | IoT - Cientista de Dados - Especialista,,,,,,2026-03-31T20:46:19+00:00
101,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IoT - Junior,,,,,,2026-03-31T20:46:19+00:00
102,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IoT - Pleno,,,,,,2026-03-31T20:46:19+00:00
103,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IoT - Senior,,,,,,2026-03-31T20:46:19+00:00
104,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IoT - Especialista,,,,,,2026-03-31T20:46:19+00:00
105,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IA - Junior,,,,,,2026-03-31T20:46:19+00:00
106,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IA - Pleno,,,,,,2026-03-31T20:46:19+00:00
107,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IA - Senior,,,,,,2026-03-31T20:46:19+00:00
108,BI | Data Science | IA | IoT - Engenheiro(a) | Especialista em IA - Especialista,,,,,,2026-03-31T20:46:19+00:00
109,Analise | Produto - Designer UX/UI - Junior,,,,,,2026-03-31T20:46:19+00:00
110,Analise | Produto - Designer UX/UI - Pleno,,,,,,2026-03-31T20:46:19+00:00
111,Analise | Produto - Designer UX/UI - Senior,,,,,,2026-03-31T20:46:19+00:00
112,Analise | Produto - Designer UX/UI - Especialista,,,,,,2026-03-31T20:46:19+00:00
113,Analise | Produto - Analista de Negocios | Requisitos - Junior,,,,,,2026-03-31T20:46:19+00:00
